ward_id,emis_power_co,emis_industry_co,emis_residential_co,emis_transport_co,emis_power_nox,emis_industry_nox,emis_residential_nox,emis_transport_nox,emis_power_pm25,emis_industry_pm25,emis_residential_pm25,emis_transport_pm25,emis_power_so2,emis_industry_so2,emis_residential_so2,emis_transport_so2,emis_total_pm25,emis_total_co,emis_total_so2,emis_total_nox
53,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
52,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
51,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
50,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
48,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
46,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
45,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
44,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
43,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
42,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
41,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
40,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
37,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
35,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
29,405.298,2530.0,16607.7,1010.24,221.78,418.609,359.406,338.923,3.13224,372.659,1323.63,18.8732,0.985225,416.417,652.015,0.615116,1718.2944400000001,20553.238,1070.0323409999999,1338.718
27,405.298,1290.12,4792.09,538.251,221.78,213.462,105.353,203.759,3.13224,190.03,381.928,10.5332,0.985225,212.344,190.913,0.336867,585.62344,7025.759,404.579092,744.3539999999999
25,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
24,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
230,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
229,2148.26,3027.67,9814.29,127.166,1353.21,500.953,212.704,116.748,61.2495,445.964,782.197,4.05887,348.707,498.33,385.835,0.109968,1293.46937,15117.386,1232.981968,2183.6150000000002
228,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
227,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
225,2148.26,3027.67,9814.29,127.166,1353.21,500.953,212.704,116.748,61.2495,445.964,782.197,4.05887,348.707,498.33,385.835,0.109968,1293.46937,15117.386,1232.981968,2183.6150000000002
,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
223,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
222,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
22,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
219,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
218,2148.26,56552.8,49628.1,2948.08,1353.21,9357.13,1067.73,1075.98,61.2495,8330.01,3955.35,57.2499,348.707,9308.13,1937.82,1.83746,12403.859400000001,111277.24,11596.49446,12854.05
100,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
147,405.298,17925.7,40620.2,1779.69,221.78,4134.9,873.926,1066.26,3.13224,2602.29,3237.42,43.9766,0.985225,3860.68,1586.09,1.29116,5886.81884,60730.888,5449.046385,6296.866
131,405.298,17925.7,40620.2,1779.69,221.78,4134.9,873.926,1066.26,3.13224,2602.29,3237.42,43.9766,0.985225,3860.68,1586.09,1.29116,5886.81884,60730.888,5449.046385,6296.866
132,405.298,17925.7,40620.2,1779.69,221.78,4134.9,873.926,1066.26,3.13224,2602.29,3237.42,43.9766,0.985225,3860.68,1586.09,1.29116,5886.81884,60730.888,5449.046385,6296.866
30,405.298,2530.0,16607.7,1010.24,221.78,418.609,359.406,338.923,3.13224,372.659,1323.63,18.8732,0.985225,416.417,652.015,0.615116,1718.2944400000001,20553.238,1070.0323409999999,1338.718
95,2148.26,8156.35,38818.6,401.157,1353.21,1349.53,835.43,381.819,61.2495,1201.4,3093.84,13.014,348.707,1342.47,1516.19,0.350766,4369.5035,49524.367,3207.717766,3919.9889999999996
94,2148.26,8156.35,38818.6,401.157,1353.21,1349.53,835.43,381.819,61.2495,1201.4,3093.84,13.014,348.707,1342.47,1516.19,0.350766,4369.5035,49524.367,3207.717766,3919.9889999999996
92,2148.26,8156.35,38818.6,401.157,1353.21,1349.53,835.43,381.819,61.2495,1201.4,3093.84,13.014,348.707,1342.47,1516.19,0.350766,4369.5035,49524.367,3207.717766,3919.9889999999996
91,2148.26,8156.35,38818.6,401.157,1353.21,1349.53,835.43,381.819,61.2495,1201.4,3093.84,13.014,348.707,1342.47,1516.19,0.350766,4369.5035,49524.367,3207.717766,3919.9889999999996
90,2148.26,8156.35,38818.6,401.157,1353.21,1349.53,835.43,381.819,61.2495,1201.4,3093.84,13.014,348.707,1342.47,1516.19,0.350766,4369.5035,49524.367,3207.717766,3919.9889999999996
70,2148.26,8156.35,38818.6,401.157,1353.21,1349.53,835.43,381.819,61.2495,1201.4,3093.84,13.014,348.707,1342.47,1516.19,0.350766,4369.5035,49524.367,3207.717766,3919.9889999999996
4,405.298,0.664883,1150.22,114.666,221.78,0.11001,27.3808,102.13,3.13224,0.0979347,91.6725,3.60537,0.985225,0.109434,49.3512,0.0981378,98.5080447,1670.848883,50.5439968,351.40081
3,405.298,24768.0,4851.16,512.741,221.78,4098.07,107.007,197.826,3.13224,3648.23,386.637,10.1551,0.985225,4076.61,193.865,0.323315,4048.15434,30537.199,4271.783539999999,4624.682999999999
26,405.298,17386.3,29826.5,1812.61,221.78,2876.71,642.203,649.576,3.13224,2560.94,2377.17,34.9705,0.985225,2861.64,1165.47,1.1254,4976.21274,49430.708,4029.220625,4390.269
2,35.1111,563.186,1252.57,207.626,52.7335,93.1837,29.1473,193.357,8.69473,82.955,99.8296,6.67453,64.8889,92.6957,52.6138,0.180436,198.15386,2058.4931,210.378836,368.42150000000004
9,2148.26,8156.35,38818.6,401.157,1353.21,1349.53,835.43,381.819,61.2495,1201.4,3093.84,13.014,348.707,1342.47,1516.19,0.350766,4369.5035,49524.367,3207.717766,3919.9889999999996
8,405.298,8156.35,38818.6,401.157,221.78,1349.53,835.43,381.819,3.13224,1201.4,3093.84,13.014,0.985225,1342.47,1516.19,0.350766,4311.386240000001,47781.405,2859.9959910000002,2788.5589999999997
6,405.298,0.664883,1150.22,114.666,221.78,0.11001,27.3808,102.13,3.13224,0.0979347,91.6725,3.60537,0.985225,0.109434,49.3512,0.0981378,98.5080447,1670.848883,50.5439968,351.40081
