ward_id,ward_name,ward_lat,ward_lon,point_id,dist_to_grid_km,nearest_station_id,dist_to_station_km,road_km_3km,road_capacity_3km,industry_count_5km,vulnerable_sites_3km
116,VIKASPURI EAST,28.64639,77.08437,14,6.74,5581,4.28,124.23,323.1,16.0,115.0
125,MOHAN GARDEN,28.62518,77.03172,14,2.91,5622,1.79,124.23,323.1,16.0,115.0
126,NAWADA,28.62401,77.04018,14,2.67,5622,1.82,124.23,323.1,16.0,115.0
127,UTTAM NAGAR,28.61683,77.0451,14,1.94,5622,1.5,124.23,323.1,16.0,115.0
128,BINDAPUR,28.61263,77.06818,14,3.09,5581,3.09,124.23,323.1,16.0,115.0
129,DABRI,28.60653,77.09095,15,4.84,5581,0.95,82.28,398.0,24.0,61.0
136,MATIALA,28.59142,77.04623,14,1.13,5622,2.38,124.23,323.1,16.0,115.0
137,ROSHANPURA,28.60887,76.99553,14,4.45,5622,3.61,124.23,323.1,16.0,115.0
209,MAYUR VIHAR PHASE-I,28.60515,77.30099,17,3.85,6960,2.47,118.47,313.0,40.0,81.0
21,ROHINI,28.73866,77.11212,21,5.09,13,0.97,135.07,435.8,59.0,163.0
210,DALLOPURA,28.61056,77.3126,17,2.92,6980,2.54,118.47,313.0,40.0,81.0
211,TRILOK PURI,28.59483,77.28829,16,4.75,6254665,2.83,177.0,846.9,51.0,65.0
212,NEW ASHOK NAGAR,28.59545,77.30187,17,3.76,6980,2.08,118.47,313.0,40.0,81.0
213,KALYAN PURI,28.61592,77.31677,17,2.88,6299494,2.52,118.47,313.0,40.0,81.0
214,KHICHRIPUR,28.60904,77.32322,17,1.92,6299494,1.85,118.47,313.0,40.0,81.0
215,KONDLI,28.60998,77.33152,17,1.38,6299494,1.04,118.47,313.0,40.0,81.0
216,GHAROLI,28.61632,77.3361,17,1.85,6299494,0.81,118.47,313.0,40.0,81.0
217,VINOD NAGAR,28.62324,77.29649,17,4.97,6960,0.91,118.47,313.0,40.0,81.0
68,ASHOK VIHAR,28.69694,77.16857,21,2.81,8915,0.44,135.07,435.8,59.0,163.0
67,WAJIRPUR,28.687,77.1634,21,2.7,8915,1.44,135.07,435.8,59.0,163.0
66,SAWAN PARK,28.69005,77.17832,21,3.9,8917,0.68,135.07,435.8,59.0,163.0
65,NIMRI COLONY,28.68166,77.17657,21,4.11,8917,1.6,135.07,435.8,59.0,163.0
64,SHAKUR PUR,28.68909,77.1467,21,1.38,8915,2.18,135.07,435.8,59.0,163.0
63,KOHAT ENCLAVE,28.69112,77.13766,21,1.01,6357,2.01,135.07,435.8,59.0,163.0
62,RAMPURA,28.68015,77.14977,21,2.4,6357,1.95,135.07,435.8,59.0,163.0
61,TRI NAGAR,28.67781,77.15975,21,3.13,5610,2.27,135.07,435.8,59.0,163.0
60,SARASWATI VIHAR,28.69098,77.11808,21,2.36,50,2.27,135.07,435.8,59.0,163.0
59,RANI BAGH,28.68533,77.12714,21,2.06,50,1.31,135.07,435.8,59.0,163.0
58,PASCHIM VIHAR NORTH,28.67683,77.10445,21,4.32,50,2.61,135.07,435.8,59.0,163.0
57,PASCHIM VIHAR SOUTH,28.66356,77.10234,21,5.47,5540,2.74,135.07,435.8,59.0,163.0
56,SHALIMAR BAGH SOUTH,28.71118,77.1619,21,2.47,8915,1.31,135.07,435.8,59.0,163.0
55,SHALIMAR BAGH NORTH,28.71706,77.15701,21,2.52,5761,1.04,135.07,435.8,59.0,163.0
54,PITAMPUR NORTH,28.71607,77.14476,21,1.85,5761,1.88,135.07,435.8,59.0,163.0
53,PITAMPURA SOUTH,28.7032,77.14374,21,0.51,8915,2.15,135.07,435.8,59.0,163.0
52,NAHARPUR,28.70983,77.12043,21,2.2,10831,2.52,135.07,435.8,59.0,163.0
51,ROHINI EAST,28.70789,77.12622,21,1.6,10831,2.81,135.07,435.8,59.0,163.0
50,ROHINI CENTRAL,28.71877,77.12504,21,2.55,10831,1.61,135.07,435.8,59.0,163.0
48,MANGOLPURI  WEST,28.69096,77.07991,20,4.02,10486,0.77,67.72,474.5,13.0,22.0
46,MANGOLPURI  EAST,28.69229,77.09835,21,4.15,10486,2.29,135.07,435.8,59.0,163.0
45,ROHINI SOUTH,28.70124,77.10442,21,3.47,10486,3.28,135.07,435.8,59.0,163.0
44,QUAMMRUDDIN NAGAR,28.65776,77.06446,20,5.27,10486,3.22,67.72,474.5,13.0,22.0
43,NANGLOI EAST,28.67156,77.0638,20,3.92,10486,1.92,67.72,474.5,13.0,22.0
42,PERAGHARHI,28.67787,77.08164,20,4.75,10486,0.9,67.72,474.5,13.0,22.0
41,GURU HARKISHAN NAGAR,28.66892,77.08201,20,5.36,10486,1.83,67.72,474.5,13.0,22.0
40,SULTANPURI  SOUTH,28.68967,77.06956,20,3.1,10486,0.88,67.72,474.5,13.0,22.0
37,SULTANPURI  EAST,28.69725,77.07909,20,3.83,10486,1.42,67.72,474.5,13.0,22.0
35,KIRARI SULEMAN NAGAR,28.69618,77.05976,20,1.97,10486,2.08,67.72,474.5,13.0,22.0
29,KARALA,28.73822,76.99651,20,6.0,5743,5.98,67.72,474.5,13.0,22.0
27,BEGUMPUR,28.76348,77.0218,26,4.43,8472,3.18,78.49,284.5,9.0,18.0
25,POOTH KALAN,28.71845,77.07818,20,4.25,5743,3.18,67.72,474.5,13.0,22.0
24,VIJAY VIHAR,28.71079,77.09632,21,4.43,10831,3.34,135.07,435.8,59.0,163.0
230,GEETA COLONY,28.64868,77.27415,16,6.36,7434,1.38,177.0,846.9,51.0,65.0
229,KRISHNA  NAGAR,28.65634,77.27649,22,6.02,7434,0.92,115.08,719.0,25.0,36.0
228,PREET VIHAR,28.64153,77.29859,17,6.14,8092,1.64,118.47,313.0,40.0,81.0
227,I.P EXTENTION,28.63577,77.31223,17,4.81,235,1.28,118.47,313.0,40.0,81.0
225,ANAND VIHAR,28.65874,77.31288,23,5.3,5753,1.12,66.54,310.9,36.0,36.0
,,28.63782,77.26419,16,4.82,5742,2.13,177.0,846.9,51.0,65.0
223,SHAKARPUR,28.62682,77.28812,16,5.56,6960,0.35,177.0,846.9,51.0,65.0
222,LAXMI NAGAR,28.63505,77.27706,16,5.32,5742,0.86,177.0,846.9,51.0,65.0
22,RITHALA,28.71878,77.10335,21,4.14,10831,2.22,135.07,435.8,59.0,163.0
219,MAYUR VIHAR PHASE II,28.61753,77.30591,17,3.86,6960,1.95,118.47,313.0,40.0,81.0
218,MANDAWALI,28.62718,77.2938,17,5.43,6960,0.75,118.47,313.0,40.0,81.0
100,KARAM PURA,28.66468,77.15737,21,4.28,5610,0.82,135.07,435.8,59.0,163.0
147,MAHAVIR ENCLAVE,28.59921,77.07227,14,3.15,5581,2.95,124.23,323.1,16.0,115.0
131,SAGARPUR,28.60279,77.10085,15,3.83,5581,0.84,82.28,398.0,24.0,61.0
132,SAGARPUR WEST,28.60377,77.09814,15,4.11,5581,0.74,82.28,398.0,24.0,61.0
30,MUNDAKA,28.69277,77.00043,20,3.94,10486,7.48,67.72,474.5,13.0,22.0
95,EAST PATEL NAGAR,28.65616,77.1742,21,5.91,5610,1.53,135.07,435.8,59.0,163.0
94,WEST PATEL NAGAR,28.65856,77.16289,21,5.12,5610,0.44,135.07,435.8,59.0,163.0
92,DEV NAGAR,28.65164,77.1792,21,6.6,2503,2.06,135.07,435.8,59.0,163.0
